City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Alyangula,-13.8483,136.4192,26.2,65,6,5.47,AU,1655620878
Grimshaw,56.1834,-117.6027,9.79,93,75,4.12,CA,1655620879
Shitanjing,39.2342,106.3439,32.49,17,24,6.36,CN,1655620880
Hirara,24.8,125.2833,31.15,79,75,7.2,JP,1655620881
Lagos,6.5833,3.75,23.18,93,100,0.57,NG,1655620648
Yilan,24.757,121.753,30.78,71,100,1.89,TW,1655620884
Emet,39.343,29.2585,19.04,67,22,3.43,TR,1655620885
Gornopravdinsk,60.05,69.9,26.27,33,11,2.16,RU,1655620886
Vagay,57.9375,69.0217,26.45,34,15,2.02,RU,1655620887
Broome,42.2506,-75.833,8.83,73,0,4.63,US,1655620889
Jumla,29.2747,82.1838,21.21,53,99,3.37,NP,1655620744
Agüimes,27.9054,-15.4461,19.08,76,20,9.26,ES,1655620891
Urusha,54.05,122.9,18.97,57,82,3.3,RU,1655620892
Tilichiki,60.4667,166.1,9.79,72,100,2.3,RU,1655620893
Kiryat Gat,31.61,34.7642,26.8,100,0,3.01,IL,1655620894
Hārij,23.7,71.9,35.21,46,70,5.39,IN,1655620896
College,64.8569,-147.8028,16.14,68,75,3.6,US,1655620897
Kidal,18.4411,1.4078,31.55,32,99,3.38,ML,1655620898
Rawson,-43.3002,-65.1023,5.6,72,98,6.76,AR,1655620849
Ortaköy,38.7373,34.0387,18.14,53,5,5.48,TR,1655620900
Emirdağ,39.0197,31.15,18.81,70,53,2.51,TR,1655620902
São João da Barra,-21.6403,-41.0511,20.8,88,96,5.56,BR,1655620903
Kaniama,-7.5667,24.1833,23.74,39,9,1.27,CD,1655620904
Yulara,-25.2406,130.9889,22.26,22,100,2.78,AU,1655620905
Mandalgovi,45.7625,106.2708,17.44,63,100,7.84,MN,1655620851
Mossamedes,-15.1961,12.1522,16.54,82,97,4.41,AO,1655620908
Borogontsy,62.6683,131.1683,25.32,35,100,3.01,RU,1655620910
Baykit,61.67,96.37,22.37,54,100,0.69,RU,1655620911
Meulaboh,4.1363,96.1285,27.5,72,91,2.34,ID,1655620851
Leshan,29.5623,103.7639,33.26,46,17,1.23,CN,1655620913
Dekar,-21.5333,21.9333,15.88,34,0,3.97,BW,1655620914
Pacific Grove,36.6177,-121.9166,11.94,85,100,5.36,US,1655620872
Abong Mbang,3.9833,13.1833,19.88,95,99,0.79,CM,1655620916
Águilas,37.4063,-1.5829,25.18,65,2,1.17,ES,1655620918
Middelburg,-25.7751,29.4648,13.41,33,0,1.0,ZA,1655620919
Hecelchakán,20.1667,-90.1333,21.86,98,100,1.18,MX,1655620920
Tucupita,9.0622,-62.051,20.95,98,30,1.23,VE,1655620921
Evensk,61.95,159.2333,7.46,91,100,4.35,RU,1655620923
Savannah Bight,16.45,-85.85,27.39,83,100,9.07,HN,1655620924
Ampanihy,-24.7,44.75,20.78,57,0,5.9,MG,1655620925
Chamba,32.5667,76.1333,29.75,41,100,4.04,IN,1655620926
San Luis de la Paz,21.3,-100.5167,16.5,86,87,1.94,MX,1655620927
Katangli,51.7102,143.2326,8.08,90,100,6.9,RU,1655620929
Turan,16.0678,108.2208,36.99,44,20,1.54,VN,1655620930
Rafai,4.95,23.9167,20.27,94,100,0.93,CF,1655620931
Oistins,13.0667,-59.5333,27.05,74,40,9.26,BB,1655620788
Coahuayana Viejo,18.7333,-103.6833,24.54,87,97,1.09,MX,1655620934
Marzuq,14.4,46.4667,33.08,22,96,1.38,YE,1655620937
Ambovombe,-25.1667,46.0833,20.62,67,37,4.93,MG,1655620938
Caçu,-18.5567,-51.1308,16.26,97,14,1.12,BR,1655620939
San Cristobal,7.7669,-72.225,18.02,98,98,1.59,VE,1655620940
Bengkulu,-3.8004,102.2655,27.78,80,90,2.44,ID,1655620942
Linfen,36.0889,111.5189,39.31,16,6,9.14,CN,1655620702
Aksay,47.26,39.87,24.03,38,1,1.79,RU,1655620944
Te Anau,-45.4167,167.7167,5.15,94,97,1.95,NZ,1655620945
Lucapa,-8.4192,20.7447,21.03,31,100,2.03,AO,1655620946
Dubrovnik,42.6481,18.0922,25.8,36,0,3.6,HR,1655620691
Bacolod City,10.6667,122.95,29.29,75,100,1.96,PH,1655620949
Jiuquan,39.7432,98.5174,27.75,25,99,5.31,CN,1655620950
Comodoro Rivadavia,-45.8667,-67.5,1.92,75,0,3.6,AR,1655620952
Oudtshoorn,-33.5907,22.2014,9.2,71,0,0.59,ZA,1655620953
Grindavik,63.8424,-22.4338,10.26,87,75,6.69,IS,1655620955
Port Moresby,-9.4431,147.1797,29.68,70,40,10.29,PG,1655620956
Palmer,42.1584,-72.3287,10.34,80,100,6.17,US,1655620743
New Glasgow,45.5834,-62.6486,13.88,98,100,4.31,CA,1655620958
Manta,-0.95,-80.7333,21.88,88,100,2.06,EC,1655620847
Belmonte,-15.8631,-38.8828,20.45,85,7,0.67,BR,1655620960
Weligama,5.9667,80.4167,29.39,66,100,3.86,LK,1655620961
Ayr,55.4627,-4.6339,11.96,82,75,7.2,GB,1655620964
Constantine,36.365,6.6147,24.67,43,0,4.63,DZ,1655620965
Bathsheba,13.2167,-59.5167,27.34,74,40,9.26,BB,1655620967
Leh,34.1667,77.5833,14.36,26,91,3.03,IN,1655620968
Ust'-Ilimsk,58.0006,102.6619,18.73,67,100,1.69,RU,1655620970
Romanovka,51.7443,42.7527,21.01,64,60,2.99,RU,1655620971
Diamantino,-14.4086,-56.4461,17.76,99,30,1.33,BR,1655620735
Grand Haven,43.0631,-86.2284,11.68,72,0,1.54,US,1655620973
Red Bluff,40.1785,-122.2358,18.08,45,75,3.6,US,1655620974
Coroneo,20.1333,-100.3333,13.33,85,95,1.9,MX,1655620976
Bethel,41.3712,-73.414,11.76,72,75,3.6,US,1655620977
Ubari,26.5921,12.7805,29.51,17,0,7.09,LY,1655620978
Tiszasüly,47.3833,20.4,26.4,43,0,2.33,HU,1655620979
Matehuala,23.65,-100.65,17.32,85,11,3.08,MX,1655620980
Mahabalipuram,12.6264,80.1722,35.03,58,47,6.39,IN,1655620809
Chu,43.5983,73.7614,34.07,12,2,2.85,KZ,1655620983
Richards Bay,-28.783,32.0377,19.66,70,100,5.24,ZA,1655620984
Merke,42.8728,73.1786,30.04,22,12,2.3,KZ,1655620985
Camargo,27.6667,-105.1667,25.17,44,38,8.21,MX,1655620986
Ust-Nera,64.5667,143.2,22.96,30,100,3.68,RU,1655620988
Lebanon,36.2081,-86.2911,14.59,81,0,2.75,US,1655620989
Libertador General San Martín,-23.8064,-64.7876,4.43,59,0,1.04,AR,1655620990
Bilma,18.6853,12.9164,32.98,13,0,7.85,NE,1655620991
Lorengau,-2.0226,147.2712,28.28,68,23,3.23,PG,1655620992
Kununurra,-15.7667,128.7333,31.99,17,17,2.57,AU,1655620994
Vokhma,58.9303,46.7586,16.62,55,100,3.27,RU,1655620995
Atambua,-9.1061,124.8925,28.08,54,0,1.28,ID,1655620996
Frumuşiţa,45.6667,28.0667,23.77,42,0,3.25,RO,1655620997
Novo Oriente,-5.5344,-40.7742,19.75,83,93,1.74,BR,1655620999
Amudat,1.95,34.95,23.4,57,99,1.54,UG,1655621001
Ararat,39.8317,44.7049,27.19,39,0,1.66,AM,1655621002
La Tuque,47.4334,-72.7824,10.14,53,20,5.66,CA,1655621003
Verāval,20.9,70.3667,31.48,65,59,5.07,IN,1655621005
Čajetina,43.7498,19.7127,17.9,59,0,0.63,RS,1655621006
Batagay-Alyta,67.8006,130.4114,16.59,45,100,10.03,RU,1655621007
Tessalit,20.1986,1.0114,30.71,34,100,2.73,ML,1655621008
Ilulissat,69.2167,-51.1,1.01,86,75,4.12,GL,1655621009
Weatherford,32.7593,-97.7972,26.79,67,0,3.3,US,1655621011
Freeport,40.6576,-73.5832,13.94,65,100,3.09,US,1655620764
Przhevalskoye,55.5093,31.8482,20.08,64,78,6.47,RU,1655621015
Dunedin,-45.8742,170.5036,8.22,75,100,4.47,NZ,1655621016
Banff,51.1762,-115.5698,13.18,54,98,3.6,CA,1655620784
Monte Gordo,37.1819,-7.4523,19.63,65,27,3.24,PT,1655621018
Hailey,43.5196,-114.3153,8.87,70,0,4.12,US,1655621020
Kabalo,-6.05,26.9167,26.58,58,96,1.38,CD,1655621022
Elliot Lake,46.3834,-82.6331,6.63,66,53,2.38,CA,1655621023
Talcahuano,-36.7167,-73.1167,7.82,93,100,1.03,CL,1655621025
Bitkine,11.9801,18.2138,27.33,59,98,4.32,TD,1655621026
Arkhangelsk,64.5401,40.5433,12.84,71,75,3.0,RU,1655621028
Abu Dhabi,24.4667,54.3667,37.51,40,0,4.12,AE,1655620961
Zhytomyr,50.2649,28.6767,21.22,60,2,3.8,UA,1655621031
Tricase,39.9304,18.3553,25.6,73,40,3.09,IT,1655621032
Rāwah,34.4816,41.9093,38.96,17,0,6.46,IQ,1655621034
Megion,61.0296,76.1136,25.01,33,98,1.6,RU,1655621035
Tres Arroyos,-38.3739,-60.2798,8.78,37,100,7.35,AR,1655621036
Saint-Pierre,-21.3393,55.4781,23.6,60,40,4.63,RE,1655621037
Nurota,40.5614,65.6886,33.93,15,75,7.44,UZ,1655621038
Shimoda,34.6667,138.95,27.28,83,100,5.38,JP,1655620791
Skibbereen,51.55,-9.2667,12.84,77,27,7.27,IE,1655621041
Vieux-Condé,50.4594,3.5674,13.36,91,100,7.15,FR,1655621042
Acapulco de Juárez,16.8634,-99.8901,27.9,78,75,2.57,MX,1655620906
Tuyen Quang,21.8233,105.2181,36.09,46,77,1.99,VN,1655621044
Uyuni,-20.4597,-66.825,-2.12,19,0,4.07,BO,1655621045
Drayton Valley,53.2168,-114.9854,10.4,93,90,1.7,CA,1655620964
Kathu,7.9178,98.3332,30.39,99,91,4.54,TH,1655621048
Sambava,-14.2667,50.1667,25.03,69,5,4.35,MG,1655621049
Isiro,2.7739,27.616,18.64,99,100,1.23,CD,1655621050
Muswellbrook,-32.2667,150.9,14.07,78,100,1.78,AU,1655621035
Quirinópolis,-18.4483,-50.4517,15.99,96,28,1.15,BR,1655621052
Ambon City,-3.6954,128.1814,26.8,13,75,3.09,ID,1655621054
Karaton,-6.3424,106.1045,31.23,52,20,1.21,ID,1655621056
Waverley,-25.7023,28.2591,8.62,74,0,0.51,ZA,1655621058
Arrondissement de Bayonne,43.3333,-1.4167,19.45,77,100,4.12,FR,1655621059
Labuhan,-6.8844,112.2051,28.96,69,92,2.89,ID,1655621060
Bereda,43.2686,-7.5406,13.97,100,100,2.97,ES,1655621062
Channagiri,14.0333,75.9333,28.81,56,100,4.21,IN,1655621063
Padang,-0.9492,100.3543,28.03,80,84,3.26,ID,1655621064
Turochak,52.2576,87.1224,23.36,44,97,3.98,RU,1655621065
Mount Isa,-20.7333,139.5,26.87,22,9,3.09,AU,1655620859
Bac Lieu,9.285,105.7244,30.7,65,30,4.89,VN,1655621069
Margate,51.3813,1.3862,12.26,85,100,3.13,GB,1655621070
Sulangan,11.1373,123.7228,29.95,66,56,2.09,PH,1655621071
Binucayan,8.25,125.7167,29.18,75,100,2.95,PH,1655621072
Nouakchott,18.0858,-15.9785,22.96,95,100,8.85,MR,1655620954
Arlit,18.7369,7.3853,33.35,16,8,3.44,NE,1655621074
Binabalian Ricor,16.4202,119.9279,30.39,70,100,3.57,PH,1655621076
Avera,33.194,-82.5271,23.0,30,0,4.52,US,1655621077
Kaseda-shirakame,31.4167,130.3167,22.48,97,100,3.64,JP,1655621078
Ostrovnoy,68.0531,39.5131,5.74,94,100,4.86,RU,1655621079
Yining,29.0361,114.5636,24.7,96,100,0.89,CN,1655621080
Najrān,17.4924,44.1277,34.36,9,83,5.03,SA,1655620839
Isāgarh,24.8333,77.8833,28.82,59,98,4.31,IN,1655621083
Lovozero,68.005,35.0117,4.51,96,100,2.82,RU,1655621084
Touros,-5.1989,-35.4608,23.22,91,22,4.33,BR,1655621070
Rochester,43.1548,-77.6156,13.58,59,0,3.09,US,1655620981
Pemangkat,1.1667,108.9667,28.83,71,12,4.28,ID,1655621087
Tari,12.4086,4.4914,28.05,59,98,3.93,NG,1655621089
Gua Musang,4.8823,101.9644,34.56,44,41,1.2,MY,1655621090
Itarema,-2.9248,-39.9167,22.92,88,98,4.61,BR,1655621093
Urucará,-2.5364,-57.76,22.97,96,95,1.17,BR,1655621094
Eyl,7.9803,49.8164,31.72,43,97,13.23,SO,1655621095
Pokhara,28.2333,83.9833,27.88,69,33,1.21,NP,1655621096
Sandovo,58.4602,36.4128,13.72,97,100,4.45,RU,1655621097
Darhan,49.4867,105.9228,14.64,81,100,2.11,MN,1655621099
Nālūt,30.3333,10.85,29.22,19,4,4.41,LY,1655621100
Albanel,48.8832,-72.4487,6.99,70,0,4.12,CA,1655621101
Honiara,-9.4333,159.95,26.45,83,28,0.53,SB,1655621102
Opuwo,-18.0607,13.84,16.27,53,0,1.33,NA,1655621104
Plettenberg Bay,-34.0527,23.3716,12.37,79,1,3.06,ZA,1655621105
Waddān,29.1614,16.139,28.31,29,0,3.29,LY,1655621106
Hay River,60.8156,-115.7999,9.99,81,100,1.03,CA,1655621107
Nichinan,31.6,131.3667,24.82,92,100,2.97,JP,1655621109
Dotnuva,55.35,23.9,18.83,69,88,5.76,LT,1655621110
Haverfordwest,51.8017,-4.9691,11.14,94,96,1.34,GB,1655621112
Kashgar,39.4547,75.9797,23.56,40,20,3.0,CN,1655621113
Camaná,-16.6228,-72.7111,15.32,83,23,3.44,PE,1655621114
Ejido,8.5514,-71.2375,18.9,88,99,2.58,VE,1655621116
Nara,34.6851,135.8049,30.03,33,100,4.45,JP,1655621117
Wanning,18.8003,110.3967,31.78,70,100,7.45,CN,1655621118
Cafelândia,-21.8025,-49.61,12.78,90,0,2.82,BR,1655621120
Vila do Maio,15.1333,-23.2167,23.44,91,100,4.04,CV,1655621121
Okha,53.5739,142.9478,9.11,84,82,5.43,RU,1655621122
Cayenne,4.9333,-52.3333,24.49,1,100,1.03,GF,1655621124
Kangaatsiaq,68.3065,-53.4641,1.28,84,82,5.97,GL,1655621126
Dongfeng,42.6403,125.5118,26.91,59,92,3.6,CN,1655621127
Isangel,-19.55,169.2667,22.06,94,100,0.51,VU,1655621128
Vila Franca do Campo,37.7167,-25.4333,17.89,77,10,5.63,PT,1655621129
Belaya Gora,68.5333,146.4167,22.8,28,100,6.84,RU,1655621131
West Bay,19.3667,-81.4167,24.9,94,100,0.45,KY,1655621132
Gisborne,-38.6533,178.0042,10.83,82,100,6.11,NZ,1655621133
Cocobeach,1.0002,9.5823,24.74,81,100,3.45,GA,1655621134
Mujiayingzi,42.1167,118.7833,32.3,37,15,3.37,CN,1655621136
Cheremnoye,53.1697,83.2133,23.33,66,100,2.52,RU,1655621137
Payo,-3.7508,103.6372,32.15,50,70,2.07,ID,1655621138
Talakan,50.3167,130.3667,21.08,52,96,4.35,RU,1655621139
Hambantota,6.1241,81.1185,31.19,74,20,5.14,LK,1655621137
Bījār,35.8668,47.6051,26.18,29,0,2.32,IR,1655621141
Lata,40.1629,-8.3327,16.97,83,5,1.43,PT,1655621143
Karabulak,43.3036,44.8964,23.55,49,0,2.17,RU,1655621144
Vavozh,56.7751,51.931,18.59,65,90,4.22,RU,1655621145
Dzaoudzi,-12.7887,45.2699,26.94,74,75,7.72,YT,1655621146
São Lourenço do Sul,-31.3653,-51.9783,5.22,75,0,2.83,BR,1655621148
Bilsi,28.1333,78.9167,36.74,29,99,3.48,IN,1655621149
Bosaso,11.2842,49.1816,37.99,28,0,4.12,SO,1655621150
Christchurch,-43.5333,172.6333,7.54,84,75,6.69,NZ,1655621151
Bama,11.5221,13.6856,27.91,54,13,5.23,NG,1655621153
Kimbe,-5.5502,150.1429,27.06,85,9,0.54,PG,1655621154
Quilpué,-33.045,-71.4494,8.05,93,0,1.54,CL,1655621155
Sharjah city,25.3573,55.4033,40.16,31,0,2.57,AE,1655621156
Amazar,53.858,120.875,26.16,34,100,2.54,RU,1655621158
Lubyany,56.0378,51.4,19.33,61,24,4.77,RU,1655621159
Casabianca,5.0796,-75.1206,12.5,96,99,0.97,CO,1655621160
Isla Vista,34.4133,-119.861,16.08,61,0,4.47,US,1655621161
Bohdan,48.0412,24.3522,21.76,51,0,1.4,UA,1655621162
Skjervøy,70.0311,20.9714,11.0,89,100,3.1,NO,1655621164
Şahbuz,39.4072,45.5739,25.78,41,0,2.41,AZ,1655621165
Muyezerskiy,63.9333,31.65,9.2,94,100,5.97,RU,1655621167
Severo-Yeniseyskiy,60.3725,93.0408,22.1,45,100,1.59,RU,1655621168
Safford,32.834,-109.7076,20.51,88,0,2.57,US,1655621096
Zabaykal'sk,49.6333,117.3167,25.34,44,100,6.05,RU,1655621171
Villamontes,-21.25,-63.5,8.58,61,0,2.36,BO,1655621172
Caldwell,43.6629,-116.6874,13.38,59,0,7.2,US,1655621173
Linjiang,41.8069,126.9078,28.58,44,92,2.55,CN,1655621174
Ola,59.5833,151.2833,12.86,96,100,4.68,RU,1655621176
Nelson Bay,-32.7167,152.15,15.4,91,99,4.81,AU,1655620894
Gopālpur,19.2667,84.9167,32.5,65,100,8.57,IN,1655621179
Kimberley,-28.7323,24.7623,3.83,87,0,1.03,ZA,1655621180
Northam,51.0333,-4.2167,12.38,80,100,7.41,GB,1655621181
Havøysund,70.9963,24.6622,8.13,78,57,6.07,NO,1655621182
Mareeba,-17.0,145.4333,20.37,66,9,2.99,AU,1655621184
São Filipe,14.8961,-24.4956,23.4,86,100,2.77,CV,1655621185
Lompoc,34.6391,-120.4579,11.32,84,40,12.07,US,1655621186
Waingapu,-9.6567,120.2641,29.36,62,100,6.86,ID,1655621187
Troitskoye,52.9821,84.6757,21.04,68,72,4.06,RU,1655621188
Saint-Augustin,51.226,-58.6502,11.28,98,100,0.47,CA,1655621190
Sola,-13.8833,167.55,26.37,94,100,0.0,VU,1655621135
Kharsia,21.9667,83.1167,34.8,43,100,5.45,IN,1655621192
Eureka,40.8021,-124.1637,11.81,84,28,2.68,US,1655621120
São Paulo de Olivença,-3.3783,-68.8725,22.77,87,90,0.49,BR,1655621194
Švenčionys,55.15,26.1667,18.67,56,92,5.81,LT,1655621195
Diu,20.7141,70.9822,31.73,64,72,6.08,IN,1655621048
Santa Cruz de La Palma,28.6835,-17.7642,22.08,64,75,5.14,ES,1655621198
Rybachiy,48.7073,44.7449,25.92,35,9,2.82,RU,1655621199
Marsabit,2.3284,37.9899,17.93,70,100,7.12,KE,1655621200
Sitka,57.0531,-135.33,11.94,76,100,2.57,US,1655621201
Luwuk,-0.9516,122.7875,28.37,78,49,3.24,ID,1655621203
Sheltozero,61.3667,35.3667,11.11,99,100,3.91,RU,1655621204
Ozinki,51.1786,49.6769,24.05,44,7,5.81,RU,1655621205
Hervey Bay,-25.2986,152.8535,19.87,69,4,7.05,AU,1655621206
Kopāganj,26.0233,83.5658,38.1,33,92,4.95,IN,1655621207
Busca,44.5181,7.4743,24.84,76,54,1.54,IT,1655621209
Pervomays'k,48.0443,30.8507,22.32,48,0,2.6,UA,1655621210
Bouar,5.934,15.596,18.57,87,100,0.26,CF,1655621211
Rechka Vydrino,51.485,104.8461,16.55,61,0,1.36,RU,1655621212
Forbes,-33.3833,148.0167,12.89,72,100,2.39,AU,1655621214
Hvide Sande,56.0045,8.1294,11.16,77,100,5.67,DK,1655621215
Vieste,41.8825,16.175,23.35,58,0,2.22,IT,1655621216
Zapolyarnyy,69.4154,30.8136,4.6,83,100,3.34,RU,1655621217
Ban Phaeo,13.5907,100.1075,38.9,43,30,1.26,TH,1655621219
Sosnogorsk,63.6023,53.8817,18.47,43,68,3.69,RU,1655621220
Vestmannaeyjar,63.4427,-20.2734,9.76,88,42,4.52,IS,1655621222
Southwick,42.0548,-72.7704,10.7,83,100,7.2,US,1655621224
Nabire,-3.3667,135.4833,27.87,78,73,1.38,ID,1655621189
Catherinas Lust,6.4,-57.6,24.26,91,100,4.2,GY,1655621227
Amahai,-3.3333,128.9167,27.4,78,90,3.01,ID,1655621228
Ballina,-28.8667,153.5667,16.68,88,100,5.46,AU,1655621229
Sept-Îles,50.2001,-66.3821,8.08,76,100,6.17,CA,1655621231
Nærbø,58.6667,5.65,12.08,88,100,5.55,NO,1655621232
Howard Springs,-12.497,131.047,32.51,44,4,1.62,AU,1655621233
Malazgirt,39.1427,42.5401,27.1,29,0,1.08,TR,1655621234
Upernavik,72.7868,-56.1549,0.77,89,94,6.52,GL,1655621151
Jenbach,47.4013,11.7406,21.13,45,13,2.39,AT,1655621238
Makakilo City,21.3469,-158.0858,24.7,66,75,6.17,US,1655621239
Kang,-23.6752,22.7876,15.73,25,0,5.15,BW,1655621240
Rio Casca,-20.2261,-42.6508,16.93,80,37,1.14,BR,1655621242
Silae,8.1589,125.2825,26.61,83,100,0.91,PH,1655621244
Zemio,5.0314,25.1361,20.09,97,100,1.4,CF,1655621245
Codrington,-38.2667,141.9667,12.15,67,100,5.54,AU,1655621246
Kosino,58.4127,51.2782,16.63,79,88,3.16,RU,1655621248
Irmo,34.086,-81.1832,21.32,55,0,4.12,US,1655621249
Changping,40.2186,116.2197,30.8,36,0,2.95,CN,1655621250
Barber,12.2833,-69.0667,26.99,78,75,5.66,CW,1655621251
Ca Mau,9.1769,105.15,31.08,61,98,3.08,VN,1655621180
Concepción del Oro,24.6333,-101.4167,15.98,66,65,3.32,MX,1655621253
Pitimbu,-7.4706,-34.8086,23.33,82,17,3.03,BR,1655621255
Salinas,36.6777,-121.6555,12.42,76,100,2.57,US,1655621037
Omsukchan,62.5333,155.8,7.89,90,100,1.6,RU,1655621258
Chifeng,42.2683,118.9636,33.01,36,35,3.58,CN,1655621156
Port Lincoln,-34.7333,135.8667,17.54,56,55,8.85,AU,1655621260
Ayan,56.45,138.1667,9.52,86,82,4.03,RU,1655621262
Praia da Vitória,38.7333,-27.0667,17.14,82,75,7.17,PT,1655621264
Vanino,49.0869,140.2543,10.82,97,100,1.81,RU,1655621265
Asnæs,55.8123,11.5013,10.67,97,100,1.81,DK,1655621266
Manaure,11.7751,-72.4445,26.74,76,11,6.36,CO,1655621268
Wonthaggi,-38.6044,145.5913,12.68,74,62,2.03,AU,1655621269
San Patricio,28.017,-97.5169,26.67,87,5,2.81,US,1655621270
